"","Ob","Type","MPG.highway","AirBags","DriveTrain","Cylinders","EngineSize","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Passengers","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","Make","PriceNew","average","level1","level2","level3","level4","level5","level6","level7","level8"
"1",654,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",6944.627711,8467.88240576923,1,0,0,0,0,0,0,0
"2",680,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",6944.627711,8467.88240576923,1,0,0,0,0,0,0,0
"3",982,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",6944.627711,8467.88240576923,1,0,0,0,0,0,0,0
"4",1416,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",6944.627711,8467.88240576923,1,0,0,0,0,0,0,0
"5",1101,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",7145.73144,8467.88240576923,1,0,0,0,0,0,0,0
"6",171,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",7385.246985,8467.88240576923,1,0,0,0,0,0,0,0
"7",753,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",7385.246985,8467.88240576923,1,0,0,0,0,0,0,0
"8",287,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",7495.405226,8467.88240576923,1,0,0,0,0,0,0,0
"9",553,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",7495.405226,8467.88240576923,1,0,0,0,0,0,0,0
"10",1222,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",7495.405226,8467.88240576923,1,0,0,0,0,0,0,0
